1,4,0
11,4,0
21,4,0
31,4,0
41,4,0
51,4,0
61,4,0
71,4,0
81,4,0
91,4,0
101,4,0
111,4,0
121,4,0
131,4,0
141,4,0
151,4,0
161,4,0
171,4,0
181,4,0
191,4,0
201,4,0
211,4,0
221,4,0
231,4,0
241,4,0
251,4,0
261,4,0
271,4,0
281,4,0
291,4,0
301,4,0
311,4,0
321,4,0
331,4,0
341,4,0
351,4,0
361,4,0
371,4,0
381,4,0
391,4,0
401,4,0
411,4,0
421,4,0
431,4,0
441,4,0
451,4,0
461,4,0
471,4,0
481,4,0
491,4,0
1,4,0
11,4,0
21,4,0
31,4,0
41,4,0
51,4,0
61,4,0
71,4,0
81,4,0
91,4,0
101,4,0
111,4,0
121,4,0
131,4,0
141,4,0
151,4,0
161,4,0
171,4,0
181,4,0
191,4,0
201,4,0
211,4,0
221,4,0
231,4,0
241,4,0
251,4,0
261,4,0
271,4,0
281,4,0
291,4,0
301,4,0
311,4,0
321,4,0
331,4,0
341,4,0
351,4,0
361,4,0
371,4,0
381,4,0
391,4,0
401,4,0
411,4,0
421,4,0
431,4,0
441,4,0
451,4,0
461,4,0
471,4,0
481,4,0
491,4,0
